Buyer,Designer 1,Designer 2,Designer 3
1. Sarah Rutson (formerly Lane Crawford),89. Grace Wales Bonner,18. Phoebe Philo,9. Raf Simons
"2. Lisa Aiken (Neiman Marcus, formerly Moda Operandi)",44. Alber Elbaz,30. Donna Karan,20. John Galliano
3. Libby Page (Net-a-Porter),63. Hussein Chalayan,39. Clare Waight Keller,85. Junya Watanabe
4. Tiffany Hsu (Mytheresa),7. Gianni Versace,25. Oscar de la Renta,42. Maria Grazia Chiuri
5. Roopal Patel (Saks Fifth Avenue),5. Karl Lagerfeld,4. Giorgio Armani,13. Tom Ford
"6. Bruce Pask (Neiman Marcus, formerly Bergdorf Goodman)",30. Donna Karan,64. Gareth Pugh,58. Dries Van Noten
7. Ida Petersson (Browns),84. Kenzo Takada,21. Hubert de Givenchy,9. Raf Simons
"8. Holli Rogers (Farfetch, formerly Browns)",64. Gareth Pugh,52. Jeremy Scott,27. Vera Wang
"9. Elizabeth von der Goltz (MatchesFashion, formerly Net-a-Porter)",70. Prabal Gurung,79. Alessandro Michele,48. Christopher Kane
10. Natalie Kingham (MatchesFashion),45. Olivier Rousteing,60. Rick Owens,94. Nicolas Di Felice
11. Federica Montelli (La Rinascente),3. Yves Saint Laurent,84. Kenzo Takada,85. Junya Watanabe
12. Morgane Le Caer (Lyst),56. Joseph Altuzarra,35. Jason Wu,77. Massimo Giorgetti
"13. Sandrine Conseiller (Aigle, formerly Uniqlo)",65. Sabyasachi Mukherjee,62. Paul Smith,18. Phoebe Philo
"14. Sarah Harris (Vogue, formerly buying at Selfridges)",16. Issey Miyake,10. Alexander McQueen,95. Glenn Martens
"15. Mario Ortelli (Ortelli & Co., formerly Selfridges)",69. Jason Wu,21. Hubert de Givenchy,93. Matthew Williams
"16. Yasmin Sewell (formerly Browns, Liberty London)",75. Fausto Puglisi,76. Alberta Ferretti,33. Tory Burch
17. Julia Toledano (LVMH),71. Naeem Khan,62. Paul Smith,84. Kenzo Takada
18. Michael Kliger (Mytheresa),3. Yves Saint Laurent,80. Salvatore Ferragamo,55. Alexander Wang
19. Sophie Hersan (Vestiaire Collective),5. Karl Lagerfeld,70. Prabal Gurung,53. Victoria Beckham
20. Anne Pitcher (Selfridges Group),35. Jason Wu,90. Marine Serre,98. Thebe Magugu
21. Carla Sozzani (10 Corso Como),43. Nicolas Ghesquière,20. John Galliano,58. Dries Van Noten
"22. Julie Gilhart (Tomorrow Ltd, formerly Barneys New York)",14. Marc Jacobs,25. Oscar de la Renta,42. Maria Grazia Chiuri
23. Tomoko Ogura (Barneys New York),94. Nicolas Di Felice,38. Hedi Slimane,65. Sabyasachi Mukherjee
24. Barbara Boccara (ba&sh),16. Issey Miyake,10. Alexander McQueen,35. Jason Wu
"25. Sarah Andelman (Colette, Paris)",97. Harris Reed,42. Maria Grazia Chiuri,18. Phoebe Philo
26. Laure Hériard Dubreuil (The Webster),51. Virgil Abloh,83. Paco Rabanne,97. Harris Reed
27. Linda Fargo (Bergdorf Goodman),69. Jason Wu,16. Issey Miyake,7. Gianni Versace
28. Ken Downing (formerly Neiman Marcus),93. Matthew Williams,27. Vera Wang,51. Virgil Abloh
"29. Jeffrey Kalinsky (Nordstrom, formerly Jeffrey)",6. Donatella Versace,23. Cristóbal Balenciaga,52. Jeremy Scott
30. Simon Longland (Harrods),81. Emilio Pucci,6. Donatella Versace,8. Miuccia Prada
31. Helen David (Harrods),7. Gianni Versace,48. Christopher Kane,37. Riccardo Tisci
32. Maria Milano (Harrods),42. Maria Grazia Chiuri,89. Grace Wales Bonner,80. Salvatore Ferragamo
33. Jo Osborne (Selfridges),40. Demna Gvasalia,35. Jason Wu,5. Karl Lagerfeld
34. Sebastian Manes (Selfridges),87. Telfar Clemens,22. Pierre Balmain,11. Vivienne Westwood
35. Eleanor Robinson (Selfridges),24. Elsa Schiaparelli,88. Kerby Jean-Raymond,65. Sabyasachi Mukherjee
36. Anne-Marie Curtis (formerly Liberty London),34. Zac Posen,77. Massimo Giorgetti,49. JW Anderson
"37. Beth Butterwick (Karen Millen, formerly Bonmarché)",92. Daniel Lee,51. Virgil Abloh,12. Jean-Paul Gaultier
"38. Lisa Armstrong (The Telegraph, formerly buying at Harvey Nichols)",24. Elsa Schiaparelli,88. Kerby Jean-Raymond,64. Gareth Pugh
39. Averyl Oates (Harvey Nichols),50. Kim Jones,85. Junya Watanabe,57. Haider Ackermann
40. Anita Barr (Harvey Nichols),53. Victoria Beckham,76. Alberta Ferretti,51. Virgil Abloh
41. Ruth Chapman (MatchesFashion),33. Tory Burch,64. Gareth Pugh,76. Alberta Ferretti
42. Tomoko Yamaguchi (Isetan Mitsukoshi),17. Yohji Yamamoto,66. Manish Malhotra,75. Fausto Puglisi
"43. Hirofumi Kurino (United Arrows, Japan)",15. Rei Kawakubo,78. Silvia Venturini Fendi,58. Dries Van Noten
"44. Motofumi Kogi (United Arrows & Sons, Japan)",23. Cristóbal Balenciaga,17. Yohji Yamamoto,29. Michael Kors
"45. Yasuhiro Mihara (Isetan, Japan)",91. Peter Do,64. Gareth Pugh,70. Prabal Gurung
"46. Yuki Matsuda (Beams, Japan)",35. Jason Wu,10. Alexander McQueen,98. Thebe Magugu
"47. Tomoko Inuzuka (Beams, Japan)",95. Glenn Martens,36. Prabal Gurung,73. Zuhair Murad
"48. Yoon Ahn (Ambush, Japan)",18. Phoebe Philo,26. Carolina Herrera,47. Jonathan Anderson
"49. Sarah Mower (Vogue, formerly buying at Browns)",37. Riccardo Tisci,18. Phoebe Philo,91. Peter Do
50. Michael Russo (Bloomingdale’s),98. Thebe Magugu,30. Donna Karan,26. Carolina Herrera
51. Kevin Harter (Bloomingdale’s),59. Ann Demeulemeester,25. Oscar de la Renta,23. Cristóbal Balenciaga
52. Marigay McKee (formerly Harrods),87. Telfar Clemens,44. Alber Elbaz,23. Cristóbal Balenciaga
53. Michael Fink (Saks Fifth Avenue),18. Phoebe Philo,13. Tom Ford,80. Salvatore Ferragamo
54. Tracy Margolies (Saks Fifth Avenue),91. Peter Do,93. Matthew Williams,18. Phoebe Philo
55. Eric Jennings (formerly Saks Fifth Avenue),35. Jason Wu,14. Marc Jacobs,93. Matthew Williams
56. Colleen Sherin (Saks Fifth Avenue),48. Christopher Kane,51. Virgil Abloh,13. Tom Ford
57. Jennifer Sunwoo (Barneys New York),91. Peter Do,82. Sonia Rykiel,95. Glenn Martens
"58. Tomoko Takahashi (Isetan, Japan)",59. Ann Demeulemeester,84. Kenzo Takada,35. Jason Wu
59. Anne-Sophie Johanet (Galeries Lafayette),13. Tom Ford,17. Yohji Yamamoto,31. Calvin Klein
60. Delphine Bellini (Le Bon Marché),14. Marc Jacobs,12. Jean-Paul Gaultier,42. Maria Grazia Chiuri
61. Pascale Camart (Le Bon Marché),6. Donatella Versace,13. Tom Ford,57. Haider Ackermann
62. Sophie Fontanel (Le Bon Marché),79. Alessandro Michele,12. Jean-Paul Gaultier,59. Ann Demeulemeester
63. Anne Laure Couplet (Galeries Lafayette),32. Ralph Lauren,4. Giorgio Armani,22. Pierre Balmain
64. Sandrine Lilienfeld (Galeries Lafayette),30. Donna Karan,24. Elsa Schiaparelli,46. Simon Porte Jacquemus
65. Anne-Sophie Mallard (Printemps),44. Alber Elbaz,37. Riccardo Tisci,80. Salvatore Ferragamo
66. Sophie Waintraub (Le Bon Marché),90. Marine Serre,15. Rei Kawakubo,79. Alessandro Michele
67. Anne-Sophie Mallard (Printemps),65. Sabyasachi Mukherjee,29. Michael Kors,90. Marine Serre
68. Sophie Waintraub (Le Bon Marché),87. Telfar Clemens,67. Guo Pei,70. Prabal Gurung
69. Anne-Sophie Mallard (Printemps),34. Zac Posen,82. Sonia Rykiel,37. Riccardo Tisci
70. Sophie Waintraub (Le Bon Marché),3. Yves Saint Laurent,47. Jonathan Anderson,18. Phoebe Philo
71. Anne-Sophie Mallard (Printemps),72. Elie Saab,40. Demna Gvasalia,73. Zuhair Murad
72. Sophie Waintraub (Le Bon Marché),1. Coco Chanel,21. Hubert de Givenchy,74. Reem Acra
73. Anne-Sophie Mallard (Printemps),7. Gianni Versace,63. Hussein Chalayan,10. Alexander McQueen
74. Sophie Waintraub (Le Bon Marché),87. Telfar Clemens,98. Thebe Magugu,49. JW Anderson
75. Anne-Sophie Mallard (Printemps),5. Karl Lagerfeld,56. Joseph Altuzarra,53. Victoria Beckham
76. Sophie Waintraub (Le Bon Marché),52. Jeremy Scott,29. Michael Kors,11. Vivienne Westwood
77. Anne-Sophie Mallard (Printemps),87. Telfar Clemens,79. Alessandro Michele,72. Elie Saab
78. Sophie Waintraub (Le Bon Marché),97. Harris Reed,13. Tom Ford,34. Zac Posen
79. Anne-Sophie Mallard (Printemps),20. John Galliano,53. Victoria Beckham,50. Kim Jones
80. Sophie Waintraub (Le Bon Marché),87. Telfar Clemens,65. Sabyasachi Mukherjee,5. Karl Lagerfeld
81. Anne-Sophie Mallard (Printemps),7. Gianni Versace,44. Alber Elbaz,5. Karl Lagerfeld
82. Sophie Waintraub (Le Bon Marché),23. Cristóbal Balenciaga,72. Elie Saab,84. Kenzo Takada
83. Anne-Sophie Mallard (Printemps),66. Manish Malhotra,63. Hussein Chalayan,100. LaQuan Smith
84. Sophie Waintraub (Le Bon Marché),90. Marine Serre,96. Ludovic de Saint Sernin,28. Diane von Fürstenberg
85. Anne-Sophie Mallard (Printemps),62. Paul Smith,6. Donatella Versace,15. Rei Kawakubo
86. Sophie Waintraub (Le Bon Marché),58. Dries Van Noten,72. Elie Saab,7. Gianni Versace
87. Anne-Sophie Mallard (Printemps),40. Demna Gvasalia,18. Phoebe Philo,96. Ludovic de Saint Sernin
88. Sophie Waintraub (Le Bon Marché),34. Zac Posen,13. Tom Ford,60. Rick Owens
89. Anne-Sophie Mallard (Printemps),22. Pierre Balmain,99. Christopher John Rogers,88. Kerby Jean-Raymond
90. Sophie Waintraub (Le Bon Marché),73. Zuhair Murad,12. Jean-Paul Gaultier,30. Donna Karan
91. Anne-Sophie Mallard (Printemps),77. Massimo Giorgetti,43. Nicolas Ghesquière,88. Kerby Jean-Raymond
92. Sophie Waintraub (Le Bon Marché),46. Simon Porte Jacquemus,87. Telfar Clemens,81. Emilio Pucci
93. Anne-Sophie Mallard (Printemps),15. Rei Kawakubo,36. Prabal Gurung,43. Nicolas Ghesquière
94. Sophie Waintraub (Le Bon Marché),85. Junya Watanabe,14. Marc Jacobs,79. Alessandro Michele
95. Anne-Sophie Mallard (Printemps),5. Karl Lagerfeld,3. Yves Saint Laurent,90. Marine Serre
96. Sophie Waintraub (Le Bon Marché),50. Kim Jones,23. Cristóbal Balenciaga,81. Emilio Pucci
97. Anne-Sophie Mallard (Printemps),8. Miuccia Prada,86. Chitose Abe,20. John Galliano
98. Sophie Waintraub (Le Bon Marché),67. Guo Pei,10. Alexander McQueen,94. Nicolas Di Felice
99. Anne-Sophie Mallard (Printemps),59. Ann Demeulemeester,37. Riccardo Tisci,34. Zac Posen
100. Sophie Waintraub (Le Bon Marché),65. Sabyasachi Mukherjee,78. Silvia Venturini Fendi,39. Clare Waight Keller
